drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Ferrostatin-1,330737.84375,315379.3333333333,340723.8333333333,327313.4791666667,16701.50758799678,6427.99887222315,9752.266696269604,40438.18262416893,855828.265625,631805.21875,833116.734375,601954.5078125,328960.0760582521,197640.06266800454,257729.01117664174,143254.5695037134,0.38645351764406444,0.499171776322611,0.408974900244853,0.5437511887004923,0.1498199777604213,0.15648102617851067,0.1270588875558309,0.1458015485330205,0.04935705415320768,0.049146758854667905,0.03141854191196296,0.026067089856367846,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Barasertib,763488.1875,598476.875,813068.8333333334,610417.8333333334,25116.997484195712,23012.32367879559,20372.496554919533,30377.201253143096,760186.4375,600852.46875,808974.03125,601578.6640625,267577.9526906306,177268.60211151047,229693.96723147205,141645.46851513462,1.0043433424185497,0.9960462944340694,1.005061722533919,1.0146932891720957,0.3550593811095449,0.2963473452066626,0.2864786409116151,0.24419384250299964,0.9819336789125387,0.980451883693537,0.9738913846344925,0.9104625457124199,0.8571428571428571,0.4,0.4,0.4
Infigratinib,856848.8333333334,645113.875,850990.7291666666,635129.8333333334,47722.38376440926,34849.2821171129,23385.324390250385,12419.43524033207,800814.53125,585305.4166666666,831671.1979166666,597565.5625,126840.75164172243,157811.4994884159,106505.09651795584,30645.425510842968,1.0699716350000152,1.1021833330604465,1.0232297707295808,1.0628621747815887,0.17964452838792147,0.30307933832874084,0.13401933506425026,0.05833547261198569,0.37188038015879477,0.4103100338977233,0.6864190749144528,0.03539152447380468,0.5476190476190476,0.9047619047619049,0.5476190476190476,0.09523809523809523
Prexasertib,596686.375,441340.90625,591634,554755.2916666666,33269.83783674928,38232.216944243235,22023.82708736651,89035.03434119091,866507.859375,675293.53125,894950.734375,617482.328125,176640.3135632252,82199.54027081339,30203.541619275886,26023.892150130072,0.6886104592639027,0.6535541743352069,0.6610799648241811,0.8984148475166803,0.14553159897004106,0.09764256651372948,0.03321698824720366,0.14907899447966363,0.05213443846865995,0.005655715610957921,2.1346383603387996e-5,0.34635893908110804,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.6285714285714286
Silmitasertib,594526.0833333334,475449.1875,643941.2916666666,552111.375,29021.523758260904,35902.53475724405,33879.59240955002,16674.823811498918,864644.59375,654556.90625,916806.90625,635328.109375,180887.41497946845,70929.92948271679,47760.06147905457,63334.58492694307,0.6875959066081113,0.7263679948377292,0.702373953857491,0.8690177041641304,0.14771205785898994,0.09593776903675941,0.05200361275274417,0.09051916420195973,0.055949887649894156,0.008838938123245148,3.0787930160241063e-4,0.07394324091862528,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714
Olaparib,593851.7291666666,520165.3125,629809.875,559657.78125,36408.91634958808,36277.46468157134,19473.316908978297,50682.79064766423,981155.875,660511.5625,980116.59375,628835.5625,68171.64346960072,17089.222426753116,36582.583581446095,65540.17873342164,0.6052572728738608,0.7875188596717412,0.6425866871514744,0.8899906662801056,0.05608514937037703,0.05858086571883234,0.03114485746762802,0.12288303963861043,2.815533501220832e-4,0.011757616482488836,2.5970315778366733e-5,0.17662159340550063,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.4
T0070907,946443.5416666666,666115.4166666666,973598.0208333334,654807.9583333334,71792.87917771722,22530.63979707111,20591.781319532758,41882.59943982989,1009852.71875,676333.515625,1014033.1875,636980.453125,44127.956696575515,37789.261078861986,30522.838174710807,32866.65633097746,0.9372094802479499,0.9848919228128288,0.9601244148957732,1.0279875231977251,0.08204470220822864,0.0643273117088381,0.0353211821266506,0.08447908877075909,0.26632412270038514,0.6750851269306548,0.09099856651837407,0.5770887835136045,0.22857142857142856,0.8571428571428571,0.11428571428571428,0.6285714285714286
Dabrafenib,859930.625,615550,710379.0625,509158.5208333333,38172.23686525162,43745.52676073542,12964.442708206743,11655.8962766509,1003452.84375,698861.859375,1013617.203125,672646.4375,88696.44690988924,20365.204399227885,47168.403175328625,40200.21735048259,0.8569716358432513,0.8807892314376596,0.7008356412163178,0.7569482159538432,0.08476431081542142,0.06765323207016607,0.035031582712103604,0.048443692927533824,0.04081887202498071,0.06445307186718732,4.7320277353112797e-4,0.002209143415003634,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Selumetinib,684730.9375,653367.75,975552,674888.9375,114967.52858665884,48195.56451307916,54627.21796455385,50177.8601750812,1015717.625,688612.140625,996309.3125,674776.796875,80855.4797633916,16599.96134073804,62812.92242115421,46103.12047920669,0.6741351342603709,0.9488182264794063,0.979165794959886,1.0001661892132618,0.12526556135531275,0.07363202091161646,0.08256594055129447,0.10099200377420335,0.017925738033709573,0.3322950507853031,0.6613871025826619,0.9977213669626106,0.05714285714285714,0.22857142857142856,0.6285714285714286,0.8571428571428572
Y-27632,513079.1458333333,482539.2395833333,788672.1458333334,561177.7708333334,74186.32515888897,10173.666928583962,13654.704512138009,29990.161244547493,771109.78125,576761.546875,833125.5,596914.3203125,309526.6310222357,165035.1862872368,249866.56949235447,138909.3885730732,0.6653775614175343,0.8366355943766007,0.9466426676813198,0.9401311909212404,0.2838844436112264,0.24004480780990387,0.2843847162299421,0.22447504042344613,0.19461095915923488,0.3366853420334566,0.7458333091872402,0.6484428975922609,0.4,0.4,0.4,0.4
