Well,well_type,Avg_control_200,Avg_control_2000,Avg_control_5000,SD_control_200,SD_control_2000,SD_control_5000
F02,test_compounds,0.972565716591444,0.9775211419199004,0.783312142630328,0.017158222528794894,0.014725095721979269,0.023184914606255814
F03,test_compounds,0.9137074733793802,0.9093697625345808,0.8751573072668247,0.045173112522909745,0.02884534938413058,0.023851468340064207
F04,test_compounds,0.9372377479218696,0.9425362159152717,1.0043960307069015,0.061151269290578694,0.02071213873473308,0.018057107967822197
F05,test_compounds,0.9317064948989123,0.8564965191069894,0.834824150867793,0.05414615442176065,0.029886116791021378,0.020518232699979284
F06,test_compounds,0.9486493353996682,0.9519813111059982,0.9785851479950834,0.07181363055668548,0.051103884641994335,0.04370353147743404
F07,test_compounds,0.9068558021010358,0.6209730000376971,0.5786463157228662,0.10228388034986638,0.009309310054249682,0.006780459343993487
F08,test_compounds,0.9625364080851191,1.0083714569093307,0.9464560497773945,0.061738185357298046,0.02970636559114105,0.013403713171935958
F09,test_compounds,1.0418328659334302,1.077423879602188,0.9952411966937977,0.037594192708208504,0.035318163351725135,0.03549618097258884
F10,test_compounds,1.0067462454897846,0.9188115938278684,0.8681562422135201,0.0736367505421717,0.06478676750264342,0.029708024941132987
F11,test_compounds,0.8965161323309393,0.8740826529480507,0.936023090955046,0.08820124757020853,0.07257812334889148,0.019465507378123446
F12,dmso,1.0030619091401212,0.9835964713539856,0.9917691419560551,0.05502406860424843,0.06360347981475478,0.03590576153132451
G01,PC,0.20283307395605585,0.19562505249661863,0.2151285643209327,0.007370321428513283,0.01483787307317757,0.010944021790337407
G02,test_compounds,0.9382186624092407,0.9699191297985605,0.957563197972081,0.05299405401817919,0.03862483992879514,0.04729704019284079
G03,test_compounds,0.9175160477291735,0.8470771398912228,0.8190778374080456,0.013240853843062768,0.04158796017632112,0.021083720860567978
G04,test_compounds,0.9152825243627063,0.7705884656321009,0.7826248838945044,0.0730883456530845,0.05976376600199703,0.02274354031559553
G05,test_compounds,0.8766410868124761,0.932426271000193,0.996556376513524,0.053913136294121325,0.013420279715130774,0.0077546765496885155
G06,test_compounds,0.506210097081911,0.3858402700823992,0.3827955085494519,0.06275047134607448,0.025608511607715212,0.005621251769402548
G07,test_compounds,0.973487246206192,1.0583703841947576,1.0255114105836334,0.06567554506499056,0.09230248991792431,0.052660513188889854
