Well,run1_Avg_2000,run1_Avg_200,run3_Avg_200,run3_Avg_2000,run3_Avg_5000
H02,NA,NA,0.8794972367092324,0.9423307029774316,0.9394734112245349
H03,0.7777339136010877,NA,0.9211194569044154,0.700579637729267,0.6585695880950986
H04,0.6552504113762572,0.8731347514747433,0.8176131865082265,0.7394468961442208,0.5801296307042494
H05,0.8721768884894047,0.9059268629193598,0.8487947697620658,0.7658245261013069,0.8108301769677336
H06,0.6426544357374802,0.8156282849609195,0.7399051361969379,0.6329801335252794,0.5653680225655858
H07,NA,NA,0.8974299829826423,0.9421330283158623,0.8301579813976571
H08,NA,NA,NA,0.9432403054673437,0.8279358562505711
H09,1.0487060928054794,NA,NA,NA,NA
H10,0.4858107714927664,0.4981527972006149,0.5017164873389707,0.4663983545011915,0.443980886995064
H11,0.8641211389653725,NA,0.9131347035354634,0.8182813087519272,0.7672062669490097
H12,1.1665874235257614,NA,NA,NA,NA
