Plate,Well,Signal,,,,,,,,,,
4,E04,135475,,,,,,,,,,
4,E05,115355,,,,,,,,,,
4,E06,158835,,,,,,,,,,
4,E07,165338,,,,,,,,,,
4,E08,152185,,,,,,,,,,
4,E09,134676,,,,,,,,,,
4,E10,59086,,,,,,,,,,
4,E11,149738,,,,,,,,,,
4,E12,151192,,,,,,,,,,
4,F01,36258,,,,,,,,,,
4,F02,145151,,,,,,,,,,
4,F03,143971,,,,,,,,,,
4,F04,152392,,,,,,,,,,
4,F05,145218,,,,,,,,,,
4,F06,147966,,,,,,,,,,
4,F07,137543,,,,,,,,,,
4,F08,136336,,,,,,,,,,
4,F09,153906,,,,,,,,,,
4,F10,145176,,,,,,,,,,
4,F11,122367,,,,,,,,,,
4,F12,150349,,,,,,,,,,
4,G01,35980,,,,,,,,,,
4,G02,146600,,,,,,,,,,
4,G03,139698,,,,,,,,,,
4,G04,138368,,,,,,,,,,
4,G05,135562,,,,,,,,,,
4,G06,94733,,,,,,,,,,
4,G07,158387,,,,,,,,,,
4,G08,153065,,,,,,,,,,
4,G09,129973,,,,,,,,,,
4,G10,147921,,,,,,,,,,
4,G11,145436,,,,,,,,,,
4,G12,148408,,,,,,,,,,
4,H01,32508,,,,,,,,,,
4,H02,137423,,,,,,,,,,
4,H03,142783,,,,,,,,,,
4,H04,131832,,,,,,,,,,
4,H05,143430,,,,,,,,,,
4,H06,123027,,,,,,,,,,
4,H07,143524,,,,,,,,,,
4,H08,142922,,,,,,,,,,
4,H09,154460,,,,,,,,,,
4,H10,82526,,,,,,,,,,
4,H11,141890,,,,,,,,,,
4,H12,151763,,,,,,,,,,
5,A01,149824,,,,,,,,,,
5,A02,151804,,,,,,,,,,
5,A03,149226,,,,,,,,,,
5,A04,151126,,,,,,,,,,
5,A05,150674,,,,,,,,,,
5,A06,146519,,,,,,,,,,
5,A07,147143,,,,,,,,,,
5,A08,151978,,,,,,,,,,
5,A09,153031,,,,,,,,,,
5,A10,151518,,,,,,,,,,
5,A11,145169,,,,,,,,,,
5,A12,32373,,,,,,,,,,
5,B01,141721,,,,,,,,,,
5,B02,142094,,,,,,,,,,
5,B03,77334,,,,,,,,,,
5,B04,127706,,,,,,,,,,
5,B05,138095,,,,,,,,,,
5,B06,136361,,,,,,,,,,
5,B07,149346,,,,,,,,,,
5,B08,144878,,,,,,,,,,
5,B09,140674,,,,,,,,,,
5,B10,79468,,,,,,,,,,
5,B11,86464,,,,,,,,,,
5,B12,31968,,,,,,,,,,
5,C01,147499,,,,,,,,,,
5,C02,152988,,,,,,,,,,
5,C03,140564,,,,,,,,,,
5,C04,94791,,,,,,,,,,
5,C05,100465,,,,,,,,,,
5,C06,127997,,,,,,,,,,
5,C07,159063,,,,,,,,,,
5,C08,158366,,,,,,,,,,
5,C09,147109,,,,,,,,,,
5,C10,152926,,,,,,,,,,
5,C11,127291,,,,,,,,,,
5,C12,33020,,,,,,,,,,
5,D01,138632,,,,,,,,,,
5,D02,137135,,,,,,,,,,
5,D03,147553,,,,,,,,,,
5,D04,89689,,,,,,,,,,
5,D05,140400,,,,,,,,,,
5,D06,141139,,,,,,,,,,
5,D07,153643,,,,,,,,,,
5,D08,148984,,,,,,,,,,
5,D09,137601,,,,,,,,,,
5,D10,164206,,,,,,,,,,
5,D11,142539,,,,,,,,,,
5,D12,33467,,,,,,,,,,
5,E01,37591,,,,,,,,,,
5,E02,147793,,,,,,,,,,
5,E03,146364,,,,,,,,,,
5,E04,137028,,,,,,,,,,
5,E05,107971,,,,,,,,,,
5,E06,141952,,,,,,,,,,
5,E07,146270,,,,,,,,,,
5,E08,156940,,,,,,,,,,
5,E09,132216,,,,,,,,,,
5,E10,57595,,,,,,,,,,
5,E11,157962,,,,,,,,,,
5,E12,158232,,,,,,,,,,
5,F01,33915,,,,,,,,,,
5,F02,142277,,,,,,,,,,
5,F03,129084,,,,,,,,,,
5,F04,130109,,,,,,,,,,
5,F05,133523,,,,,,,,,,
5,F06,134331,,,,,,,,,,
5,F07,137878,,,,,,,,,,
5,F08,134248,,,,,,,,,,
5,F09,148965,,,,,,,,,,
5,F10,137501,,,,,,,,,,
5,F11,135793,,,,,,,,,,
5,F12,159612,,,,,,,,,,
5,G01,37617,,,,,,,,,,
5,G02,149260,,,,,,,,,,
5,G03,136746,,,,,,,,,,
5,G04,131631,,,,,,,,,,
5,G05,129015,,,,,,,,,,
5,G06,93818,,,,,,,,,,
5,G07,146036,,,,,,,,,,
5,G08,152040,,,,,,,,,,
5,G09,131281,,,,,,,,,,
5,G10,144727,,,,,,,,,,
5,G11,145561,,,,,,,,,,
5,G12,147655,,,,,,,,,,
5,H01,31802,,,,,,,,,,
5,H02,134058,,,,,,,,,,
5,H03,139109,,,,,,,,,,
5,H04,125868,,,,,,,,,,
5,H05,130641,,,,,,,,,,
5,H06,124112,,,,,,,,,,
5,H07,134667,,,,,,,,,,
5,H08,146658,,,,,,,,,,
5,H09,149679,,,,,,,,,,
5,H10,81544,,,,,,,,,,
5,H11,136761,,,,,,,,,,
5,H12,152305,,,,,,,,,,
6,A01,151225,,,,,,,,,,
6,A02,143343,,,,,,,,,,
6,A03,141216,,,,,,,,,,
6,A04,133978,,,,,,,,,,
6,A05,140369,,,,,,,,,,
6,A06,143289,,,,,,,,,,
6,A07,141493,,,,,,,,,,
6,A08,146769,,,,,,,,,,
6,A09,147201,,,,,,,,,,
6,A10,147782,,,,,,,,,,
6,A11,132144,,,,,,,,,,
6,A12,33545,,,,,,,,,,
6,B01,140282,,,,,,,,,,
6,B02,140179,,,,,,,,,,
6,B03,75278,,,,,,,,,,
6,B04,133300,,,,,,,,,,
6,B05,144070,,,,,,,,,,
6,B06,122205,,,,,,,,,,
6,B07,142514,,,,,,,,,,
6,B08,138151,,,,,,,,,,
6,B09,130433,,,,,,,,,,
6,B10,80975,,,,,,,,,,
6,B11,84340,,,,,,,,,,
6,B12,32440,,,,,,,,,,
6,C01,143849,,,,,,,,,,
6,C02,149026,,,,,,,,,,
6,C03,148529,,,,,,,,,,
6,C04,95909,,,,,,,,,,
6,C05,102778,,,,,,,,,,
6,C06,118510,,,,,,,,,,
6,C07,148105,,,,,,,,,,
6,C08,139338,,,,,,,,,,
6,C09,152283,,,,,,,,,,
6,C10,141779,,,,,,,,,,
6,C11,122663,,,,,,,,,,
6,C12,33103,,,,,,,,,,
6,D01,140593,,,,,,,,,,
6,D02,143973,,,,,,,,,,
6,D03,147493,,,,,,,,,,
6,D04,92576,,,,,,,,,,
6,D05,130648,,,,,,,,,,
6,D06,130402,,,,,,,,,,
6,D07,143864,,,,,,,,,,
6,D08,141183,,,,,,,,,,
6,D09,134718,,,,,,,,,,
6,D10,151357,,,,,,,,,,
6,D11,135599,,,,,,,,,,
6,D12,34032,,,,,,,,,,
6,E01,38114,,,,,,,,,,
6,E02,152013,,,,,,,,,,
6,E03,141218,,,,,,,,,,
6,E04,140483,,,,,,,,,,
6,E05,110162,,,,,,,,,,
6,E06,148823,,,,,,,,,,
6,E07,143948,,,,,,,,,,
6,E08,136208,,,,,,,,,,
6,E09,128303,,,,,,,,,,
6,E10,59389,,,,,,,,,,
6,E11,142949,,,,,,,,,,
6,E12,146938,,,,,,,,,,
6,F01,34946,,,,,,,,,,
6,F02,140671,,,,,,,,,,
6,F03,134814,,,,,,,,,,
6,F04,128680,,,,,,,,,,
6,F05,133525,,,,,,,,,,
6,F06,138916,,,,,,,,,,
6,F07,133447,,,,,,,,,,
6,F08,133788,,,,,,,,,,
6,F09,140829,,,,,,,,,,
6,F10,143098,,,,,,,,,,
6,F11,131425,,,,,,,,,,
6,F12,140189,,,,,,,,,,
6,G01,39772,,,,,,,,,,
6,G02,141938,,,,,,,,,,
6,G03,146391,,,,,,,,,,
6,G04,135686,,,,,,,,,,
6,G05,134868,,,,,,,,,,
6,G06,95824,,,,,,,,,,
6,G07,150655,,,,,,,,,,
6,G08,142504,,,,,,,,,,
6,G09,125419,,,,,,,,,,
6,G10,134245,,,,,,,,,,
6,G11,135357,,,,,,,,,,
6,G12,144052,,,,,,,,,,
6,H01,33042,,,,,,,,,,
6,H02,136263,,,,,,,,,,
6,H03,136728,,,,,,,,,,
6,H04,126208,,,,,,,,,,
6,H05,132160,,,,,,,,,,
6,H06,120467,,,,,,,,,,
6,H07,139791,,,,,,,,,,
6,H08,138105,,,,,,,,,,
6,H09,149951,,,,,,,,,,
6,H10,82830,,,,,,,,,,
6,H11,137570,,,,,,,,,,
6,H12,144216,,,,,,,,,,
7,A01,142915,,,,,,,,,,
7,A02,177709,,,,,,,,,,
7,A03,151375,,,,,,,,,,
7,A04,165465,,,,,,,,,,
7,A05,162668,,,,,,,,,,
7,A06,173951,,,,,,,,,,
7,A07,159018,,,,,,,,,,
7,A08,170120,,,,,,,,,,
7,A09,178767,,,,,,,,,,
7,A10,154298,,,,,,,,,,
7,A11,139830,,,,,,,,,,
7,A12,33139,,,,,,,,,,
