Plate,Well,Signal,,,,,,,,,,
5,A07,108333,,,,,,,,,,
5,A08,115499,,,,,,,,,,
5,A09,121539,,,,,,,,,,
5,A10,118580,,,,,,,,,,
5,A11,105904,,,,,,,,,,
5,A12,31687,,,,,,,,,,
5,B01,117317,,,,,,,,,,
5,B02,106153,,,,,,,,,,
5,B03,57549,,,,,,,,,,
5,B04,93100,,,,,,,,,,
5,B05,102571,,,,,,,,,,
5,B06,107220,,,,,,,,,,
5,B07,116787,,,,,,,,,,
5,B08,113984,,,,,,,,,,
5,B09,118869,,,,,,,,,,
5,B10,68987,,,,,,,,,,
5,B11,72876,,,,,,,,,,
5,B12,30082,,,,,,,,,,
5,C01,116188,,,,,,,,,,
5,C02,118373,,,,,,,,,,
5,C03,118279,,,,,,,,,,
5,C04,74057,,,,,,,,,,
5,C05,82138,,,,,,,,,,
5,C06,104677,,,,,,,,,,
5,C07,124717,,,,,,,,,,
5,C08,126731,,,,,,,,,,
5,C09,123059,,,,,,,,,,
5,C10,122285,,,,,,,,,,
5,C11,105269,,,,,,,,,,
5,C12,31060,,,,,,,,,,
5,D01,109437,,,,,,,,,,
5,D02,106941,,,,,,,,,,
5,D03,117589,,,,,,,,,,
5,D04,72870,,,,,,,,,,
5,D05,105381,,,,,,,,,,
5,D06,105791,,,,,,,,,,
5,D07,111660,,,,,,,,,,
5,D08,108868,,,,,,,,,,
5,D09,104436,,,,,,,,,,
5,D10,126330,,,,,,,,,,
5,D11,111313,,,,,,,,,,
5,D12,32076,,,,,,,,,,
5,E01,34024,,,,,,,,,,
5,E02,112006,,,,,,,,,,
5,E03,117757,,,,,,,,,,
5,E04,105385,,,,,,,,,,
5,E05,81863,,,,,,,,,,
5,E06,114568,,,,,,,,,,
5,E07,113104,,,,,,,,,,
5,E08,117020,,,,,,,,,,
5,E09,98163,,,,,,,,,,
5,E10,47409,,,,,,,,,,
5,E11,118904,,,,,,,,,,
5,E12,122438,,,,,,,,,,
5,F01,30671,,,,,,,,,,
5,F02,106144,,,,,,,,,,
5,F03,100772,,,,,,,,,,
5,F04,99513,,,,,,,,,,
5,F05,99436,,,,,,,,,,
5,F06,102458,,,,,,,,,,
5,F07,106200,,,,,,,,,,
5,F08,99555,,,,,,,,,,
5,F09,112014,,,,,,,,,,
5,F10,103819,,,,,,,,,,
5,F11,102753,,,,,,,,,,
5,F12,124508,,,,,,,,,,
5,G01,33841,,,,,,,,,,
5,G02,115329,,,,,,,,,,
5,G03,106341,,,,,,,,,,
5,G04,102580,,,,,,,,,,
5,G05,100945,,,,,,,,,,
5,G06,73322,,,,,,,,,,
5,G07,112017,,,,,,,,,,
5,G08,119506,,,,,,,,,,
5,G09,100587,,,,,,,,,,
5,G10,112106,,,,,,,,,,
5,G11,111348,,,,,,,,,,
5,G12,118109,,,,,,,,,,
5,H01,29338,,,,,,,,,,
5,H02,101219,,,,,,,,,,
5,H03,108506,,,,,,,,,,
5,H04,96571,,,,,,,,,,
5,H05,99950,,,,,,,,,,
5,H06,92417,,,,,,,,,,
5,H07,102703,,,,,,,,,,
5,H08,112460,,,,,,,,,,
5,H09,116312,,,,,,,,,,
5,H10,64915,,,,,,,,,,
5,H11,106381,,,,,,,,,,
5,H12,116790,,,,,,,,,,
6,A01,123981,,,,,,,,,,
6,A02,139041,,,,,,,,,,
6,A03,97071,,,,,,,,,,
6,A04,108295,,,,,,,,,,
6,A05,115640,,,,,,,,,,
6,A06,124477,,,,,,,,,,
6,A07,115711,,,,,,,,,,
6,A08,113067,,,,,,,,,,
6,A09,112181,,,,,,,,,,
6,A10,119814,,,,,,,,,,
6,A11,106708,,,,,,,,,,
6,A12,31313,,,,,,,,,,
6,B01,113934,,,,,,,,,,
6,B02,114077,,,,,,,,,,
6,B03,60994,,,,,,,,,,
6,B04,108278,,,,,,,,,,
6,B05,120303,,,,,,,,,,
6,B06,101083,,,,,,,,,,
6,B07,109615,,,,,,,,,,
6,B08,105675,,,,,,,,,,
6,B09,104874,,,,,,,,,,
6,B10,66562,,,,,,,,,,
6,B11,72125,,,,,,,,,,
