drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Y-27632,384435,317328,408272.3333333333,427078.6666666667,17614.733293467714,15532.334145259689,19200.98748328672,16832.569391906076,325886.5,297338.75,337946.25,407224.25,36722.269233622625,18680.324432853587,132447.3945619543,36371.293299111596,1.1796591758173474,1.0672271945718477,1.2080984278811595,1.0487554870975062,0.1434981049029901,0.08499593062848836,0.47687293941651826,0.10238454489634233,0.043344429316646275,0.18481547920844618,0.3681939232822949,0.3852937899875386,0.05714285714285714,0.22857142857142856,0.6285714285714286,0.6285714285714286
IWR-1,384656,297229.6666666667,398370.3333333333,412330,23911.8843046716,20849.12778351491,38787.99830273964,18881.23523501574,328516.25,290877.25,344289,413285,38600.92930120552,10867.44776461643,137800.2907326396,34427.15476674384,1.1708888068702843,1.0218388226190487,1.157081211811395,0.9976892459198858,0.1556482868429181,0.08120975994292784,0.4766235375684064,0.0948380357705576,0.0650936078958658,0.6653539545787915,0.5010732567552905,0.9645244481485383,0.05714285714285714,0.6285714285714286,1,0.8571428571428571
Apoptozole,365441,313161.6666666667,413424,402058.3333333333,13871.329280209593,18360.882912685145,18702.35036031568,10384.491770584313,376646,330103.2,430539.2,432401.2,18258.12070011588,9804.5666757894,27050.358846048606,19063.199697322587,0.9702505801203252,0.9486780699692299,0.9602470576430671,0.9298270525922068,0.05973680605207238,0.06235159061839272,0.07434282065241843,0.04750998672611167,0.36905651754365976,0.2457180513409717,0.3339419617779929,0.026935397868195484,0.39285714285714285,0.14285714285714285,0.39285714285714285,0.03571428571428571
Gefitinib,345263.3333333333,280887,431801,372313.3333333333,18058.047245849517,7823.532386332915,34279.33505772829,21978.56251744716,352959.5,332331.25,431997.5,432140.25,30185.532345810963,21817.315712907184,40910.5103488089,9973.56911625255,0.9781953264704119,0.8452018881763301,0.9995451362565756,0.8615567129730066,0.09806088049156642,0.060274322622360675,0.12351773301548619,0.05460863167591713,0.6926401615726285,0.012477327386003618,0.9947660225846988,0.028780970467511158,0.6285714285714286,0.05714285714285714,1,0.05714285714285714
Paclitaxel,261810.66666666666,219702.33333333334,349488.3333333333,331445.6666666667,10566.659847526716,7974.430721583412,18215.163609842577,8795.967958862364,346297,322367,424819.75,426697.25,23979.387162032865,21373.77488107018,35925.8996396286,11856.621901564824,0.7560292658228822,0.6815286097315586,0.8226744009272952,0.7767701026117855,0.060594764303301955,0.051515062142817036,0.08172303776868088,0.029846485073334365,0.002525557327755002,9.00788128116289e-4,0.01760632662970365,6.63390451334149e-5,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
SGI-1027,338210.3333333333,281868,421838,424725.6666666667,26015.55669850894,27147.936846103057,26098.45451362973,15740.00738034558,357201,305622.75,421983.5,429842.75,5727.420885529542,15942.211627730117,32842.61195966809,13200.202836194096,0.9468347886297444,0.9222742744118362,0.9996551997886173,0.9880954527363011,0.07439718438055763,0.10101930441627892,0.09938944442208862,0.04755657882430727,0.3327692295167586,0.2686684463229288,0.9950468034250606,0.6726722421544318,0.6285714285714286,0.4,0.8571428571428572,0.6285714285714286
PFK-015,337065.6666666667,313501.3333333333,432896.6666666667,455131.6666666667,24121.429836005438,21593.32203097368,34022.0703269706,36734.95612265426,360887,300488,427147,439184.75,9863.290086646206,13290.667703317242,27133.374099068475,8854.248485896474,0.9339922653536057,1.0433073311857157,1.0134606275279159,1.0363102695771351,0.07154788777355892,0.0854014849049356,0.10241337727224566,0.0862133507584708,0.2226837858247901,0.42234938225411106,0.8221389084399935,0.5329030233247346,0.22857142857142856,0.4,1,0.6285714285714286
Nedisertib,346252.6666666667,291637.6666666667,423602.6666666667,450656,26968.433256927132,4857.713591118082,26205.79488077653,17512.417280318557,368666,309975.75,420946.25,435244.5,12263.219506584177,8005.476224643562,45242.73452813538,13602.462828473379,0.9392042300257325,0.9408402646551115,1.00631058399182,1.03540883342581,0.07954342485369029,0.028913571295149824,0.12479397964277308,0.051633619603195506,0.28455226318646604,0.013777122308150275,0.9261600437686532,0.27952276410561644,0.4,0.05714285714285714,1,0.22857142857142856
Lapatinib,342818,254782.33333333334,376548,319399.3333333333,13798.604422187049,2746.880109020656,10921.09120005872,7389.60041770415,372939.5,311326.5,417239,424789,28949.42109380888,9358.724859723145,43557.02466881777,12508.382176231531,0.9192322079050356,0.8183766346049351,0.9024755595713727,0.75190113993849494,0.0803776044059278,0.02613541827056985,0.09778096804650417,0.028157110741067897,0.13469873489340115,5.392578651235616e-4,0.15759614747112272,4.197297875482388e-5,0.22857142857142856,0.05714285714285714,0.4,0.05714285714285714
Dinaciclib,108972,96348.33333333333,90186.66666666667,109619.66666666667,7435.233150345724,1332.8530801755057,9707.539664267839,12363.208375390805,362547,303624.5,410301.75,429711.5,31344.146534879525,14128.907589288941,29055.71457705581,12301.453152642847,0.30057344289154236,0.3173272688249246,0.219805708034798,0.25510061207732787,0.033103988156547866,0.015405243720766409,0.028320697533691253,0.02968330958630492,2.591215302255762e-4,7.431827502206347e-5,4.5960999201062806e-5,1.5462864488406907e-6,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
TAK-580,359619.6666666667,278502,420807.3333333333,421003,22052.657942600326,8878.177065141244,24424.730384045866,52666.43647523534,356165.25,305325.25,416324.5,429775.75,15674.894138398511,21345.51650620492,33216.42144582506,11867.800424538098,1.009698915508087,0.9121486021873396,1.0107676423879288,0.9795876105154839,0.07621256437593385,0.07008566777266467,0.09972631629437395,0.12549401315049016,0.8302434148221867,0.08286073941791568,0.8451098041116041,0.8019746775887483,1,0.11428571428571428,1,0.6285714285714286
KU-55933,368758.6666666667,350230,400765,427752,19608.416160754376,25687.7953705646,14155.856420577315,17296.41338543919,381806.6666666667,343476.6666666667,443506.3333333333,430870.3333333333,24398.70837428353,15553.957513550477,2693.383807282826,14457.853794160921,0.9658256360112448,1.0196616946323378,0.9036285840337492,0.992762710513836,0.08029211907478785,0.08789337656178682,0.03238636074538564,0.052164712677278714,0.5119776576740521,0.7207382112624335,0.03093792444478231,0.8227765223532864,0.7,1,0.1,1
GSK2606414,366695.3333333333,331522.3333333333,424643.3333333333,433612.3333333333,25714.502218268455,21873.63175911429,24231.47693256301,21065.778037692635,371497.5,348291.5,444639,428868.5,4908.874582495123,14216.401337891386,19102.4753544316,9955.934930147612,0.9870734886058004,0.9518530694356115,0.9550294358644503,1.0110612771358432,0.07043663810943733,0.07384900041468749,0.06821553829299687,0.05443910591015941,0.7784759261770404,0.3251172692155089,0.3071671176234127,0.7446990145452654,0.8571428571428571,0.4,0.4,1
Tipifarnib,333774,287667.3333333333,410549,403636.3333333333,20753.999807266067,13833.238389232412,25804.702071521773,807.232515037231,380009.5,352370.75,450738,440336.5,29089.375500343765,4705.7647890645785,20981.36598667176,11959.87760528231,0.8783306733121146,0.8163768795603304,0.9108373378769928,0.9166542708436237,0.08662178877565209,0.040743377227485555,0.07124031395016098,0.024964434626340733,0.05769163611296225,0.009987836491566468,0.09480892429581349,0.00847234584732459,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.05714285714285714
Axitinib,339094.6666666667,318041.3333333333,382972.3333333333,411224.3333333333,25027.216232200764,9205.026362446406,12874.162121603616,8977.94415962437,369075.5,334436,444689.75,428548,34318.28516014944,20832.010992700634,16555.141746599453,22294.37218971042,0.9187677498687035,0.9509781642327181,0.8612124145729316,0.95957590126038,0.10907221651362171,0.06531863683366602,0.04319842724855396,0.05413780238362208,0.23903113646154067,0.22842864129563153,0.002688768558350928,0.22917093577585107,0.4,0.22857142857142856,0.05714285714285714,0.6285714285714286
Laduviglusib,336728.6666666667,312952.3333333333,384814.6666666667,429661.6666666667,22423.985291052377,24465.781702887267,26372.639123404646,15759.661555164608,357813.5,321382,434810.25,426193,10458.939159079822,12412.223195973664,18529.19725505308,21871.38457741835,0.9410731195627517,0.973770570017404,0.8850174683477832,1.0081387227539322,0.06844075579824091,0.08490983156228307,0.07142267124334498,0.06359195221509299,0.239365588087102,0.6256163750720387,0.05770945306279852,0.8170571260322816,0.22857142857142856,0.6285714285714286,0.11428571428571428,0.8571428571428572
Berzosertib,344099,269315,387899.6666666667,353232.6666666667,36095.98721464756,41647.42586283095,57855.58974147039,20384.26948245468,362763.5,326495.5,436011.25,437143,9475.89068812707,23011.510590716698,16559.048430289306,14520.459978940062,0.9485491236025675,0.8248658863598426,0.8896551790043644,0.8080483198099173,0.10254135797147958,0.14018265821676085,0.13692703844206575,0.053803748647005385,0.46699503388856134,0.12377412664508544,0.2840863121075941,0.005796721184022584,0.6285714285714286,0.22857142857142856,0.22857142857142856,0.05714285714285714
Ceritinib,338364.6666666667,319929.3333333333,409045.3333333333,429282,18577.186340598873,14065.929095986989,25678.528488473272,7214.734160036668,360643.5,328727.5,445808.25,434747.25,21443.02221392,22194.01824065815,12704.72267505277,6366.047825508906,0.9382247750664207,0.9732356840645621,0.9175364819590784,0.9874289026555084,0.07592979572838351,0.07841196004939134,0.06325723003356444,0.0220105706074966,0.2041269177839935,0.5507491920562759,0.11535423296520506,0.3548509113388583,0.22857142857142856,0.8571428571428571,0.05714285714285714,0.22857142857142856
Navitoclax,348396.3333333333,309131.3333333333,390894,394888.3333333333,9629.530639306016,10322.872775217824,21412.497378867323,28787.11851390016,371079.75,324778.25,435078,433099.75,32558.722532013853,11716.41587332349,23811.32860635878,14142.664114303218,0.9388718552638168,0.9518227693305611,0.8984457959262477,0.9117722495414354,0.08636775001754797,0.04678979029578699,0.06956957957451675,0.0728313642567962,0.26363932074779983,0.12290807712970736,0.05254070862547115,0.13361345044189948,0.6285714285714286,0.11428571428571428,0.11428571428571428,0.11428571428571428
Ro-3306,356075,310998,401240.6666666667,384411,8852.287388014467,9548.134739309035,13736.818930645237,15084.818295226496,369991.25,319587.25,415423,427816.25,26468.495038126617,5263.291389425442,11091.72334070169,14081.958845155978,0.9623876240316493,0.9731239278162692,0.9658605004216586,0.8985423064224419,0.07288626859282187,0.03390351530885974,0.04193408754529169,0.04602205901376915,0.3844026488632287,0.25687244243976015,0.2198111761681955,0.015918727468505024,0.6285714285714286,0.22857142857142856,0.4,0.05714285714285714
Empesertib,327572,238769.33333333334,419828.6666666667,332201,14007.628742938614,10830.166449936645,9447.854483073568,8169.912912632545,360942.5,325518,417784.25,424000,12576.533557913855,7113.463385252878,16034.18399077421,8165.334163400785,0.9075462158099974,0.7335057764342782,1.0048934747221003,0.7834929245283019,0.05006055922471039,0.036930513844677076,0.044708033180310074,0.024473274530008447,0.02962748416379271,7.963941409190103e-4,0.8415726350882042,6.038869299786922e-5,0.05714285714285714,0.05714285714285714,0.8571428571428572,0.05714285714285714
