groups,Avg_1,Avg_2,Avg_3,Avg_4,SD_1,SD_2,SD_3,SD_4,ratio_2_1,ratio_3_1
lib,381226.6666666667,488748.3333333333,489979.6666666667,433053.6666666667,17912.945272437286,14342.24042237939,14723.922722336372,29533.670045108403,1.2820413052602124,1.2852712297146054
lib,301874.3333333333,450788.3333333333,416588.3333333333,382268.3333333333,33733.390762467585,4680.5683771667445,20888.86867049849,28706.651308247943,1.4932979838188738,1.3800058081563742
lib,378571,504181.6666666667,461320,392944.3333333333,9354.890646073849,15547.366089898744,18128.184023779104,26910.90376284924,1.3318021366313497,1.2185825116028433
lib,163122.33333333334,135633,217898.66666666666,173371.33333333334,22457.63603617561,51123.5579258721,7418.385561113236,27608.719136050724,0.8314802591919765,1.3357991037401376
lib,373635.6666666667,469805.6666666667,479074,424029,18055.147862405705,9906.547447690004,6662.3062073129,17220.598160342746,1.257389774530804,1.282195579115841
lib,389281.6666666667,434575,428413,380568.3333333333,15119.782053102927,23850.899626638824,17076.159726355338,9947.871145794628,1.1163510568611417,1.100521901450963
lib,366307.3333333333,462955,491171,438728,35990.315979904,5289.639307173978,16030.882102991089,13750.904988399854,1.2638431117040154,1.3408713266273675
lib,269040.6666666667,328477.6666666667,304435.6666666667,273331,16685.11798979358,10099.542085329083,15069.790785984169,27081.518107373522,1.220921991966518,1.1315600367726317
lib,282133,407561,355031,353354.3333333333,36099.93239605858,26263.24467768596,10846.893195749648,9177.529969078463,1.4445704685378882,1.25838168523356
lib,109373.66666666667,175812,173330.33333333334,163958.66666666666,9210.807040283351,4806.4588836273215,12702.394433071795,4909.828951535209,1.6074435955028785,1.584753795093883
lib,250106,421918,434144,364121,14020.349639006867,31008.080301753605,15493.470592478627,14864.08705571923,1.686956730346333,1.7358400038383726
lib,299636,470336,471280.3333333333,428841.3333333333,28141.86086597686,15909.172071481282,20171.594714680676,27974.09575541868,1.5696912253534288,1.5728428270746282
lib,385821.3333333333,463622.3333333333,464423.3333333333,393248.3333333333,20521.455049126835,26966.544946161222,7121.79347730144,15273.242692150654,1.2016503321053613,1.203726422592841
lib,421571.6666666667,432653,433022,368082,25161.713978450145,47652.64167913464,14148.95441366605,41510.998747319965,1.0262857639863525,1.0271610600016603
lib,388978.3333333333,467131,455234,373324.3333333333,20089.51690144224,6368.013583528226,3576.5911144552156,25846.16831047367,1.2009177889085512,1.17033253780202
lib,317716.6666666667,467833.6666666667,436166.3333333333,377465,20929.70753100323,17342.140131290984,8239.706568399954,22593.35858167174,1.4724870167339872,1.3728154015632374
lib,355171.3333333333,465389,467701.3333333333,403651.3333333333,27833.82295577331,20904.1679097734,10580.07392853818,13620.287968076642,1.3103225297837475,1.3168330026635033
lib,402050.3333333333,410620.6666666667,359418.6666666667,321274.6666666667,2970.7164680146325,28414.774930189637,13013.852785909841,32244.82374480179,1.0213165681577183,0.8939643543801731
lib,392540,469127.6666666667,455873,413588.3333333333,9183.351022366509,14656.066195720234,5340.041104710712,18240.006094662724,1.1951079295528269,1.1613415193356091
lib,289939,405790,444541.6666666667,378572.3333333333,26103.217349591217,17509.166427902845,11296.209378961305,9660.95876884553,1.399570254432829,1.5332248047577826
lib,341814,477107.6666666667,474900.3333333333,440179,24747.924296797097,15683.760146512486,12983.838967475427,41104.7238282901,1.3958107820822632,1.389353078964973
lib,244199,441101.3333333333,418548,376189.3333333333,174293.9731258657,5722.7811711905715,30230.219764335157,31065.593835195446,1.8063191631961364,1.7139627926404286
lib,423709,487425.6666666667,493082,423546,21639.08611748657,23046.606525328916,12251.206185514959,14091.822415855233,1.150378365025682,1.1637279359182835
lib,330810,441527.3333333333,438921.3333333333,407430.3333333333,12155.441538669009,18926.153078038158,28556.124690394063,25448.725514912006,1.3346855697631066,1.326807936076096
lib,397936.6666666667,462523.3333333333,449107.3333333333,289801,16234.52655094485,10871.355818541371,12396.271105995276,10401.559883017546,1.1623038842026787,1.1285899766294467
lib,350194,455502.6666666667,423528,383342.3333333333,29143.184572040165,34854.69317514262,17485.631901649995,24263.53942303829,1.3007152226099439,1.20940964151299
lib,305764.3333333333,416862,362908.3333333333,346152.3333333333,11658.041616555216,9826.440403320014,9084.270875162922,1876.5716968273111,1.3633441005218616,1.1868890310947537
lib,398183.6666666667,460471.6666666667,455862.6666666667,412306.3333333333,32449.34717884681,6801.158822828161,22908.123806486932,9624.228090259152,1.1564303240296983,1.1448552636095068
lib,267650.6666666667,365075.6666666667,308651,297409.3333333333,12703.551878641396,19418.503967436147,10380.72545634456,13571.462866372709,1.3640005878309038,1.1531859936833084
lib,375391.6666666667,444416.3333333333,449010.6666666667,434413.3333333333,5890.66187565823,7147.449918210923,21587.45919123724,18672.227754966287,1.1838737318800363,1.1961125047172954
lib,329955,452698.3333333333,382521.3333333333,436337.6666666667,16152.411584651996,13930.266843579608,11899.088550529126,32253.234525134583,1.3720002222525294,1.1593136437797074
lib,415804,495357,469790.6666666667,392909.6666666667,38095.99405449344,7366.887606038252,20078.185583695886,11901.760556041,1.1913233157930179,1.1298368141399955
lib,330661.3333333333,444067,447283.3333333333,397602.6666666667,43065.48878549195,22190.721326716714,1361.3604714892133,27402.13970355843,1.3429662171970516,1.3526931885998161
lib,204144,211616.66666666666,229600.66666666666,167880,7725.6130501080625,6844.059784465163,11729.686966553427,8915.8734849705,1.0366048802152728,1.1246995584815946
lib,409829.6666666667,513506.6666666667,503327,455117.3333333333,40112.27859812172,29007.65744304999,10188.71596424201,14702.392129627524,1.252975829795956,1.2281370553132236
lib,382663.6666666667,483566.6666666667,445473.3333333333,412082,21442.781077400694,19439.0012432052,4637.492246175009,53836.50322039871,1.2636858651330891,1.1641380463784123
lib,373206.6666666667,489862.6666666667,424661.3333333333,406423.6666666667,23696.16286096408,5730.212416074411,13502.34106861967,26221.27945645165,1.3125774816455582,1.137871777924653
lib,398639,471021,438356.3333333333,409596.6666666667,24575.060060964246,8083.572477562133,3341.7035076938428,7968.212241985861,1.1815728014569573,1.0996323323441342
lib,390385,488922.3333333333,480052,431259.3333333333,19575.393048416678,6765.890653368065,15300.21238414683,18800.563936577364,1.252410654439421,1.2296886407008465
lib,409614,461514.6666666667,444374.6666666667,411295.6666666667,5140.192311577457,17248.276503272242,5168.44670412043,8721.450701192625,1.126706281198071,1.0848620082972424
lib,254063,400598.3333333333,441159.3333333333,382146.3333333333,13072.22349105155,23231.787583682264,62115.141997208164,20804.443211327078,1.5767677045982031,1.7364170829020098
lib,349566.6666666667,425930.3333333333,414597,396405.6666666667,11399.362102035944,41469.332299101865,7491.6574267647875,6933.07214251614,1.2184523696004577,1.1860312768189185
lib,128395,149578.375,149785.59375,124861.5,30768.891636133547,24064.883183365597,21446.86797174308,17152.45125903433,1.1649859807624907,1.166599896802835
lib,435005.3333333333,491393,486032.3333333333,409040.3333333333,8761.014172647669,11119.69932147448,8401.045252427422,12525.308073390184,1.1296252306485133,1.1173020100902977
lib,308533,400913,413194.3333333333,341081,10477.534013306757,5139.945914112326,14723.24320023728,22640.946557067793,1.2994169181254518,1.3392224926777145
lib,316132.6666666667,448548,471458.6666666667,484333,23559.584723278407,5908.160712099832,19026.27557703644,56057.06272183729,1.4188600144665002,1.4913316982954414
lib,258468,376182,399552,376664,30155.545576228596,45161.923575064866,24762.64664772326,1927.7043341757574,1.4554296856864293,1.5458470681090115
lib,351500.3333333333,476540,472244.6666666667,430017,19138.17343252311,18907.190774940627,4984.9459709542825,852.971863545334,1.35573128901727,1.343511291122531
lib,189079.66666666666,244814,119431.66666666667,115518.33333333333,12166.891892892505,25373.12690623684,5459.50019079891,11147.126371102704,1.2947664035794437,0.63164733031403
