drugs,row,col,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,p.val_1,p.val_2,p.val_3,p.val_4
Nedisertib,10,16,330810,441527.3333333333,438921.3333333333,407430.3333333333,12155.441538669009,18926.153078038158,28556.124690394063,25448.725514912006,424751.5,476380.25,474324.25,440090.5,19318.549471082624,12023.60021998403,13737.024893209835,11967.27667433155,0.04187668249978895,0.1281045751633987,0.1331945055778847,0.05714285714285714
Niclosamide,14,22,397936.6666666667,462523.3333333333,449107.3333333333,289801,16234.52655094485,10871.355818541371,12396.271105995276,10401.559883017546,377123.5,481335.75,470617,405772.5,31523.62995701267,9231.761636690295,7034.0235522304965,18885.72714159205,3.395297512944572e-5,0.05014854426619132,0.05714285714285714,0.9221397259569275
Olaparib,8,12,350194,455502.6666666667,423528,383342.3333333333,29143.184572040165,34854.69317514262,17485.631901649995,24263.53942303829,434477.5,485179.25,477136.25,393171,11720.460983539284,15372.88030645743,12928.720054591638,9860.998360544772,3.395297512944572e-5,0.3790495051782658,0.05714285714285714,0.4
Onvansertib,14,8,305764.3333333333,416862,362908.3333333333,346152.3333333333,11658.041616555216,9826.440403320014,9084.270875162922,1876.5716968273111,345809.75,461204,454476.75,379322.5,35204.41936627654,7883.186961290888,12277.683993734323,23308.93880753333,0.05014854426619132,0.07410671356677254,0.05714285714285714,0.08315933746048729
Oxaliplatin,16,22,398183.6666666667,460471.6666666667,455862.6666666667,412306.3333333333,32449.34717884681,6801.158822828161,22908.123806486932,9624.228090259152,368611.25,476024.5,455139.25,408995.25,54292.18624796144,90568.22615943555,51505.316886544184,75832.11708053961,0.3660470248705543,0.4,0.05714285714285714,0.8571428571428571
Paclitaxel,10,10,267650.6666666667,365075.6666666667,308651,297409.3333333333,12703.551878641396,19418.503967436147,10380.72545634456,13571.462866372709,350239.75,446958.5,432863,394766.75,85787.56706491137,64612.52298380968,22104.522795120458,7438.772720236406,0.43950767601896323,0.5635697961271033,0.05714285714285714,0.3068687276561089
Palbociclib (monohydrochloride),16,18,375391.6666666667,444416.3333333333,449010.6666666667,434413.3333333333,5890.66187565823,7147.449918210923,21587.45919123724,18672.227754966287,427478.75,483633,457190.5,429973.75,44032.72306951578,12264.23031964637,14865.208452400973,23114.381935280035,0.09660119906416147,0.05714285714285714,0.05714285714285714,0.05714285714285714
Pemetrexed,2,10,329955,452698.3333333333,382521.3333333333,436337.6666666667,16152.411584651996,13930.266843579608,11899.088550529126,32253.234525134583,389487,469973.5,445297,445573,22757.524645707847,9266.634367449706,3160.7673119038673,26591.457613301307,0.2,0.5678658972557254,1,0.09137180675766746
PF-573228,6,14,415804,495357,469790.6666666667,392909.6666666667,38095.99405449344,7366.887606038252,20078.185583695886,11901.760556041,406692.75,497408.5,484825.5,402205,17588.604954629005,4933.340078824217,15944.95294233675,44620.2856856236,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.8571428571428572
PFK-015,10,14,330661.3333333333,444067,447283.3333333333,397602.6666666667,43065.48878549195,22190.721326716714,1361.3604714892133,27402.13970355843,409612.25,480396.5,467387.75,422514,39422.83468055031,11974.62713406977,35631.049281724314,27282.699218857848,0.05714285714285714,0.6376955923871772,0.4,0.36949503120526095
Prexasertib,8,8,204144,211616.66666666666,229600.66666666666,167880,7725.6130501080625,6844.059784465163,11729.686966553427,8915.8734849705,363713,442169.5,420909.25,396979.25,92851.14662009655,61735.07553247181,6220.349152847719,14140.552732596181,0.4,0.4,0.05714285714285714,0.11428571428571428
Raloxifene (hydrochloride),2,12,409829.6666666667,513506.6666666667,503327,455117.3333333333,40112.27859812172,29007.65744304999,10188.71596424201,14702.392129627524,411195,480406,463129,448788.5,7942.223366287301,24020.41735690702,28379.0235561409,22044.053903490618,0.8,0.7703284509087792,0.8,0.07349385459345828
Ro-3306,12,20,382663.6666666667,483566.6666666667,445473.3333333333,412082,21442.781077400694,19439.0012432052,4637.492246175009,53836.50322039871,407102.5,474227.5,472541.25,407010.25,27351.398044706966,20833.82618883691,16444.18252503501,15498.00067481824,1,0.05714285714285714,0.05714285714285714,0.8571428571428571
Rucaparib,2,20,373206.6666666667,489862.6666666667,424661.3333333333,406423.6666666667,23696.16286096408,5730.212416074411,13502.34106861967,26221.27945645165,349977,481619.5,466845,461041.5,23010.66887337263,30344.073301058314,5727.564927611035,35445.14162053807,0.2,0.7318103266915326,0.2,0.058584604844563064
Saracatinib,4,10,398639,471021,438356.3333333333,409596.6666666667,24575.060060964246,8083.572477562133,3341.7035076938428,7968.212241985861,409886.75,470952.25,453965.75,425108.25,45172.859435543076,5534.328286552338,12623.77731043024,28202.8822448463,0.6285714285714286,0.6285714285714286,0.05714285714285714,0.05714285714285714
