drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Erlotinib,601166.5416666666,613429.6041666666,445214.84375,434947.6145833333,25919.00417514125,46415.63985345035,21431.843501346564,14632.734291746863,594780.3046875,592168.234375,486551.1015625,503143.0234375,69877.30008418279,18203.527391859658,23116.837016048416,17107.13237489092,1.0107371359287391,1.0359042727344312,0.9150423096777428,0.8644611856321648,0.12648923328782738,0.084604205581377,0.06188989300010164,0.041348504715242346,0.8747200625696951,0.5176559486700725,0.06229055641861202,0.002661615194345252,0.6285714285714286,0.8571428571428572,0.11428571428571428,0.05714285714285714
Saracatinib,604593.8125,612261.8958333334,511479.3645833333,514054.1979166667,6620.733515052826,13388.867985127687,31723.775324235783,23683.27944314229,616648.1484375,634726.734375,540154.09375,513821.8828125,85849.81927275653,41224.217126384196,50814.083866708555,23327.07900903999,0.9804518411868356,0.9646070705312465,0.9469137983059733,1.0004521315886648,0.13692021526087894,0.06610510546548838,0.10669794598143308,0.06471055532975434,0.7976083985505085,0.36814439464489573,0.40247246951810195,0.9902503366572004,0.4,0.8571428571428571,0.6285714285714286,1
Ipatasertib,746329.4375,769356.9583333334,567648.9166666666,522598.0625,30281.96341967907,105064.77098650439,11097.337601652573,21051.794479628097,662618.578125,664384.78125,571749.09375,541591.859375,12347.261712957583,10587.130913787601,28302.03520961894,12083.531758935618,1.1263334022596758,1.157999069283066,0.9928287125801266,0.9649296854333834,0.05028948940105958,0.15921142629461224,0.05283973582900367,0.044433974427263746,0.02957678154845437,0.22497577207315486,0.8045627986739361,0.2564947610053552,0.05714285714285714,0.05714285714285714,1,0.22857142857142856
Vorinostat,756075.0833333334,763022.0625,422187.2916666667,398827.9166666667,30724.621341387017,19748.0111861573,9257.620389480016,24447.189121925985,660543.671875,691432.21875,575736.140625,548316.5,19763.79025913872,38135.20521244185,26771.419971687264,14502.899150992334,1.1446254283038708,1.1035384840460907,0.7332999648213054,0.727368074217476,0.05776221875878863,0.06723256395566819,0.037699224097551234,0.04855959469345904,0.015408010386413599,0.02604546222023667,5.119894497515243e-4,0.0023576934419748726,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Buparlisib,668786.6041666666,696145.4583333334,414726.5,412227.5625,37205.09959713254,28528.584312378516,11412.526701989915,4628.0786260126015,678218.65625,686334.359375,561525.65625,518890.546875,32042.671669429248,54766.97585020574,35599.752145032704,37633.79891163207,0.9860929038203033,1.014294926116285,0.7385708834207876,0.7944403014906052,0.07197061366546176,0.09098673056840306,0.05104476669703375,0.05830495784205022,0.7425488897422869,0.772092455370344,0.0019049968512237193,0.010056630971865665,0.6285714285714286,0.8571428571428572,0.05714285714285714,0.05714285714285714
Everolimus,708618.6875,712594.8125,513815.7916666667,489280.90625,32551.315909880566,47327.638252160265,12479.648338971256,25390.372756420118,691806.609375,666882.96875,521939.03125,491836.53125,21656.01963991088,39751.676209728226,20403.10928820169,16897.017937504195,1.0243017020901095,1.0685455258149446,0.9844364205453675,0.994803913825789,0.05693916928708089,0.09535958263667005,0.04530568889423326,0.06191142800173112,0.48994585525431433,0.24850421108170043,0.5446412968241763,0.8886923727798064,0.6285714285714286,0.6285714285714286,0.8571428571428571,1
Topotecan (Hydrochloride),352120.8333333333,347951.0833333333,261226.05729166666,254020.20833333334,6088.956927838752,21634.988040216835,6718.855931511085,3235.0109795299054,686837.9375,661614.34375,506491.4765625,489366.0546875,7203.523338588092,27202.812696776145,8854.023468181793,7742.155164680836,0.5126694582640658,0.5259122427140295,0.5157560776038684,0.5190801566642089,0.010368333903994904,0.03920302562336838,0.016039358165058307,0.010542361368550072,2.320560837907643e-8,1.4464052597335901e-5,1.5970064648867466e-7,3.550115965715823e-7,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Bortezomib,246322.953125,260365.82291666666,298015.2395833333,250676.625,12318.254194453446,29927.437444887586,60504.58279009815,14281.269343429187,560042.63671875,541660.46875,439004.23828125,445107.0703125,207120.81561578705,178653.8041150682,124899.97987095463,96437.86725914142,0.4398289290404543,0.48068086548298,0.6788436502346671,0.5631827524644921,0.1641424891269723,0.16789281074729454,0.23726891473210157,0.1261682486032509,0.05598062827508565,0.04878101012920391,0.11210581141798483,0.025648490526076206,0.11428571428571428,0.11428571428571428,0.22857142857142856,0.05714285714285714
FRAX597,611038.6875,608542.6666666666,468487.6145833333,497838.3958333333,47707.07834310498,12326.514963676456,15297.337988439429,6013.623315213437,594099.84375,576152.390625,487343.4583333333,482561.140625,22087.532510543067,42427.08879845991,26034.34531986265,11702.88578413311,1.028511779506759,1.056218244632345,0.9613089220188056,1.0316586934218255,0.08894087880345242,0.08066734432390656,0.06018737387473476,0.027951178742385143,0.608463247961437,0.13148073201207242,0.2176454861205895,0.0366643131087731,0.7142857142857142,0.26190476190476186,0.38095238095238093,0.09523809523809523
Ganetespib,412061.1666666667,417047.3645833333,392080.40625,368558.5208333333,8892.888790509222,28289.364253988755,15523.12827695918,22248.85650994957,611542.265625,614892.90625,517417.0078125,494101.90625,27521.709533319205,18320.764973161546,37683.316558116996,7139.239372808956,0.6738065213620805,0.6782439028720432,0.7577648208890746,0.7459160067414399,0.03363030239375358,0.05024955560588477,0.06281529907958472,0.046300741296665164,2.385366826081207e-4,0.0012754823126606889,0.003328775528214435,0.006818022403498279,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
