Plate,Well,Signal,,,,,,,,,,
3,E09,153016,,,,,,,,,,
3,E10,67274,,,,,,,,,,
3,E11,151264,,,,,,,,,,
3,E12,170569,,,,,,,,,,
3,F01,32873,,,,,,,,,,
3,F02,158596,,,,,,,,,,
3,F03,155175,,,,,,,,,,
3,F04,156309,,,,,,,,,,
3,F05,154658,,,,,,,,,,
3,F06,152605,,,,,,,,,,
3,F07,157374,,,,,,,,,,
3,F08,154309,,,,,,,,,,
3,F09,172055,,,,,,,,,,
3,F10,171397,,,,,,,,,,
3,F11,156372,,,,,,,,,,
3,F12,170376,,,,,,,,,,
3,G01,32956,,,,,,,,,,
3,G02,162314,,,,,,,,,,
3,G03,151779,,,,,,,,,,
3,G04,154881,,,,,,,,,,
3,G05,142984,,,,,,,,,,
3,G06,88696,,,,,,,,,,
3,G07,166964,,,,,,,,,,
3,G08,175923,,,,,,,,,,
3,G09,143120,,,,,,,,,,
3,G10,159000,,,,,,,,,,
3,G11,169231,,,,,,,,,,
3,G12,158699,,,,,,,,,,
3,H01,31196,,,,,,,,,,
3,H02,144770,,,,,,,,,,
3,H03,152243,,,,,,,,,,
3,H04,140880,,,,,,,,,,
3,H05,141903,,,,,,,,,,
3,H06,125184,,,,,,,,,,
3,H07,150362,,,,,,,,,,
3,H08,157170,,,,,,,,,,
3,H09,167764,,,,,,,,,,
3,H10,82077,,,,,,,,,,
3,H11,153580,,,,,,,,,,
3,H12,158354,,,,,,,,,,
4,A01,164480,,,,,,,,,,
4,A02,173605,,,,,,,,,,
4,A03,159434,,,,,,,,,,
4,A04,170818,,,,,,,,,,
4,A05,169102,,,,,,,,,,
4,A06,174824,,,,,,,,,,
4,A07,181953,,,,,,,,,,
4,A08,195065,,,,,,,,,,
4,A09,178600,,,,,,,,,,
4,A10,143816,,,,,,,,,,
4,A11,132725,,,,,,,,,,
4,A12,32114,,,,,,,,,,
4,B01,170682,,,,,,,,,,
4,B02,170056,,,,,,,,,,
4,B03,66053,,,,,,,,,,
4,B04,127894,,,,,,,,,,
4,B05,124918,,,,,,,,,,
4,B06,120497,,,,,,,,,,
4,B07,84105,,,,,,,,,,
4,B08,98557,,,,,,,,,,
4,B09,164672,,,,,,,,,,
4,B10,55805,,,,,,,,,,
4,B11,59046,,,,,,,,,,
4,B12,32293,,,,,,,,,,
4,C01,166728,,,,,,,,,,
4,C02,178418,,,,,,,,,,
4,C03,185841,,,,,,,,,,
4,C04,95564,,,,,,,,,,
4,C05,110096,,,,,,,,,,
4,C06,147184,,,,,,,,,,
4,C07,189634,,,,,,,,,,
4,C08,190823,,,,,,,,,,
4,C09,186154,,,,,,,,,,
4,C10,173283,,,,,,,,,,
4,C11,163734,,,,,,,,,,
4,C12,32536,,,,,,,,,,
4,D01,168110,,,,,,,,,,
4,D02,182738,,,,,,,,,,
4,D03,193675,,,,,,,,,,
4,D04,81128,,,,,,,,,,
4,D05,172813,,,,,,,,,,
4,D06,427726,,,,,,,,,,
4,D07,203719,,,,,,,,,,
4,D08,159513,,,,,,,,,,
4,D09,149387,,,,,,,,,,
4,D10,217566,,,,,,,,,,
4,D11,159283,,,,,,,,,,
4,D12,34203,,,,,,,,,,
4,E01,33364,,,,,,,,,,
4,E02,178822,,,,,,,,,,
4,E03,132427,,,,,,,,,,
4,E04,127950,,,,,,,,,,
4,E05,140335,,,,,,,,,,
4,E06,34353,,,,,,,,,,
4,E07,189973,,,,,,,,,,
4,E08,185289,,,,,,,,,,
4,E09,128076,,,,,,,,,,
4,E10,65321,,,,,,,,,,
4,E11,174180,,,,,,,,,,
4,E12,172526,,,,,,,,,,
4,F01,33287,,,,,,,,,,
4,F02,170494,,,,,,,,,,
4,F03,155947,,,,,,,,,,
4,F04,171328,,,,,,,,,,
4,F05,150451,,,,,,,,,,
4,F06,161563,,,,,,,,,,
4,F07,110047,,,,,,,,,,
4,F08,175372,,,,,,,,,,
4,F09,192668,,,,,,,,,,
4,F10,159916,,,,,,,,,,
4,F11,149351,,,,,,,,,,
4,F12,174466,,,,,,,,,,
4,G01,32436,,,,,,,,,,
4,G02,168230,,,,,,,,,,
4,G03,144383,,,,,,,,,,
4,G04,133866,,,,,,,,,,
4,G05,164419,,,,,,,,,,
4,G06,63482,,,,,,,,,,
4,G07,173021,,,,,,,,,,
4,G08,201760,,,,,,,,,,
4,G09,147524,,,,,,,,,,
4,G10,171470,,,,,,,,,,
4,G11,192452,,,,,,,,,,
4,G12,171538,,,,,,,,,,
4,H01,32350,,,,,,,,,,
4,H02,168488,,,,,,,,,,
4,H03,117572,,,,,,,,,,
4,H04,129343,,,,,,,,,,
4,H05,137942,,,,,,,,,,
4,H06,111572,,,,,,,,,,
4,H07,165371,,,,,,,,,,
4,H08,164879,,,,,,,,,,
4,H09,195078,,,,,,,,,,
4,H10,78603,,,,,,,,,,
4,H11,142574,,,,,,,,,,
4,H12,173600,,,,,,,,,,
5,A01,172845,,,,,,,,,,
5,A02,172436,,,,,,,,,,
5,A03,164806,,,,,,,,,,
5,A04,169255,,,,,,,,,,
5,A05,164964,,,,,,,,,,
5,A06,172614,,,,,,,,,,
5,A07,192788,,,,,,,,,,
5,A08,193143,,,,,,,,,,
5,A09,177224,,,,,,,,,,
5,A10,151267,,,,,,,,,,
5,A11,139644,,,,,,,,,,
5,A12,31638,,,,,,,,,,
5,B01,171700,,,,,,,,,,
5,B02,175268,,,,,,,,,,
5,B03,66780,,,,,,,,,,
5,B04,136365,,,,,,,,,,
5,B05,125469,,,,,,,,,,
5,B06,127627,,,,,,,,,,
5,B07,83722,,,,,,,,,,
5,B08,101832,,,,,,,,,,
5,B09,172809,,,,,,,,,,
5,B10,55707,,,,,,,,,,
5,B11,59857,,,,,,,,,,
5,B12,31838,,,,,,,,,,
5,C01,171003,,,,,,,,,,
5,C02,189925,,,,,,,,,,
5,C03,191800,,,,,,,,,,
5,C04,94776,,,,,,,,,,
5,C05,120287,,,,,,,,,,
5,C06,154063,,,,,,,,,,
5,C07,199048,,,,,,,,,,
5,C08,195149,,,,,,,,,,
5,C09,183531,,,,,,,,,,
5,C10,184497,,,,,,,,,,
5,C11,172194,,,,,,,,,,
5,C12,32570,,,,,,,,,,
5,D01,171834,,,,,,,,,,
5,D02,180235,,,,,,,,,,
5,D03,198297,,,,,,,,,,
5,D04,83892,,,,,,,,,,
5,D05,178438,,,,,,,,,,
5,D06,175767,,,,,,,,,,
5,D07,218194,,,,,,,,,,
5,D08,163638,,,,,,,,,,
5,D09,153286,,,,,,,,,,
5,D10,228129,,,,,,,,,,
5,D11,165147,,,,,,,,,,
5,D12,32781,,,,,,,,,,
5,E01,32738,,,,,,,,,,
5,E02,186372,,,,,,,,,,
5,E03,130788,,,,,,,,,,
5,E04,139149,,,,,,,,,,
5,E05,145586,,,,,,,,,,
5,E06,33200,,,,,,,,,,
5,E07,194276,,,,,,,,,,
5,E08,186512,,,,,,,,,,
5,E09,131863,,,,,,,,,,
5,E10,66790,,,,,,,,,,
5,E11,188489,,,,,,,,,,
5,E12,175245,,,,,,,,,,
5,F01,33498,,,,,,,,,,
5,F02,172065,,,,,,,,,,
5,F03,165804,,,,,,,,,,
5,F04,165784,,,,,,,,,,
5,F05,159299,,,,,,,,,,
5,F06,176277,,,,,,,,,,
5,F07,112056,,,,,,,,,,
5,F08,182671,,,,,,,,,,
5,F09,185995,,,,,,,,,,
5,F10,158008,,,,,,,,,,
5,F11,148586,,,,,,,,,,
5,F12,168111,,,,,,,,,,
5,G01,32908,,,,,,,,,,
5,G02,171577,,,,,,,,,,
5,G03,149337,,,,,,,,,,
5,G04,132815,,,,,,,,,,
5,G05,166099,,,,,,,,,,
5,G06,66509,,,,,,,,,,
5,G07,189401,,,,,,,,,,
5,G08,202306,,,,,,,,,,
5,G09,144443,,,,,,,,,,
5,G10,169828,,,,,,,,,,
5,G11,181162,,,,,,,,,,
5,G12,174182,,,,,,,,,,
5,H01,33901,,,,,,,,,,
5,H02,169418,,,,,,,,,,
5,H03,127768,,,,,,,,,,
5,H04,128488,,,,,,,,,,
5,H05,142198,,,,,,,,,,
5,H06,114344,,,,,,,,,,
5,H07,169382,,,,,,,,,,
5,H08,172268,,,,,,,,,,
