,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
3,E09,88588,,,,,,,,,,
3,E10,47208,,,,,,,,,,
3,E11,96369,,,,,,,,,,
3,E12,111608,,,,,,,,,,
3,F01,29972,,,,,,,,,,
3,F02,100501,,,,,,,,,,
3,F03,89832,,,,,,,,,,
3,F04,90784,,,,,,,,,,
3,F05,91396,,,,,,,,,,
3,F06,96389,,,,,,,,,,
3,F07,95032,,,,,,,,,,
3,F08,101075,,,,,,,,,,
3,F09,110528,,,,,,,,,,
3,F10,109071,,,,,,,,,,
3,F11,105360,,,,,,,,,,
3,F12,113617,,,,,,,,,,
3,G01,29062,,,,,,,,,,
3,G02,101334,,,,,,,,,,
3,G03,91408,,,,,,,,,,
3,G04,97570,,,,,,,,,,
3,G05,95505,,,,,,,,,,
3,G06,58014,,,,,,,,,,
3,G07,108528,,,,,,,,,,
3,G08,115491,,,,,,,,,,
3,G09,90949,,,,,,,,,,
3,G10,98825,,,,,,,,,,
3,G11,107119,,,,,,,,,,
3,G12,102938,,,,,,,,,,
3,H01,28849,,,,,,,,,,
3,H02,104408,,,,,,,,,,
3,H03,95528,,,,,,,,,,
3,H04,84692,,,,,,,,,,
3,H05,84923,,,,,,,,,,
3,H06,80581,,,,,,,,,,
3,H07,98707,,,,,,,,,,
3,H08,104879,,,,,,,,,,
3,H09,109861,,,,,,,,,,
3,H10,56217,,,,,,,,,,
3,H11,99245,,,,,,,,,,
3,H12,106394,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
4,A01,110851,,,,,,,,,,
4,A02,113155,,,,,,,,,,
4,A03,100388,,,,,,,,,,
4,A04,101666,,,,,,,,,,
4,A05,122272,,,,,,,,,,
4,A06,116829,,,,,,,,,,
4,A07,118472,,,,,,,,,,
4,A08,133334,,,,,,,,,,
4,A09,131652,,,,,,,,,,
4,A10,97284,,,,,,,,,,
4,A11,92453,,,,,,,,,,
4,A12,27924,,,,,,,,,,
4,B01,128690,,,,,,,,,,
4,B02,126572,,,,,,,,,,
4,B03,51978,,,,,,,,,,
4,B04,91578,,,,,,,,,,
4,B05,90845,,,,,,,,,,
4,B06,89562,,,,,,,,,,
4,B07,62584,,,,,,,,,,
4,B08,71199,,,,,,,,,,
4,B09,115261,,,,,,,,,,
4,B10,45905,,,,,,,,,,
4,B11,47054,,,,,,,,,,
4,B12,29960,,,,,,,,,,
4,C01,131796,,,,,,,,,,
4,C02,129254,,,,,,,,,,
4,C03,126132,,,,,,,,,,
4,C04,66669,,,,,,,,,,
4,C05,73589,,,,,,,,,,
4,C06,97626,,,,,,,,,,
4,C07,125730,,,,,,,,,,
4,C08,122008,,,,,,,,,,
4,C09,117990,,,,,,,,,,
4,C10,111294,,,,,,,,,,
4,C11,111465,,,,,,,,,,
4,C12,28438,,,,,,,,,,
4,D01,122045,,,,,,,,,,
4,D02,125027,,,,,,,,,,
4,D03,118009,,,,,,,,,,
4,D04,54429,,,,,,,,,,
4,D05,102986,,,,,,,,,,
4,D06,165785,,,,,,,,,,
4,D07,121694,,,,,,,,,,
4,D08,101555,,,,,,,,,,
4,D09,94009,,,,,,,,,,
4,D10,136520,,,,,,,,,,
4,D11,105994,,,,,,,,,,
4,D12,30244,,,,,,,,,,
4,E01,29554,,,,,,,,,,
4,E02,109824,,,,,,,,,,
4,E03,81201,,,,,,,,,,
4,E04,77554,,,,,,,,,,
4,E05,81708,,,,,,,,,,
4,E06,31057,,,,,,,,,,
4,E07,122731,,,,,,,,,,
4,E08,122226,,,,,,,,,,
4,E09,81498,,,,,,,,,,
4,E10,48717,,,,,,,,,,
4,E11,115941,,,,,,,,,,
4,E12,118466,,,,,,,,,,
4,F01,30225,,,,,,,,,,
4,F02,107684,,,,,,,,,,
4,F03,91767,,,,,,,,,,
4,F04,101079,,,,,,,,,,
4,F05,86576,,,,,,,,,,
4,F06,100595,,,,,,,,,,
4,F07,68593,,,,,,,,,,
4,F08,109647,,,,,,,,,,
4,F09,128106,,,,,,,,,,
