Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
G12,200,0.9434406870538526,1.0135785219480975,0.09532599434905485,0.020522514965828447,0.9308017747264021,-0.10345413340652196,0.0959186883322572,dmso,1.1226391513909166,0,-0
H12,200,0.9141709434040852,1.004625700195404,0.09546651026119311,0.07908583341915683,0.9099617332368414,-0.13612221818069165,0.11900214617598603,dmso,1.1479660255888136,0,-0
A12,200,0.17080137992446226,0.19419320364812304,0.013262766319033581,0.013837872560697352,0.879543551039785,-0.1851730796534044,0.09269612827723338,PC,1.0649358075942517,0,-0
B12,200,0.1720639082682562,0.1938365720429775,0.016751115335176966,0.015723782609650672,0.887675150539219,-0.1718962836832911,0.11248655475193049,PC,1.11264826004308,0,-0
C12,200,0.2133947889254593,0.23771682088642013,0.01376336388668669,0.014292651014689654,0.8976848509488449,-0.1557190461047362,0.07915354220388865,PC,1.055991935356622,0,-0
D12,200,0.17562908430449153,0.19840727811508735,0.012728293980704474,0.015383789159679744,0.8851947669108026,-0.17593317263925332,0.09394820029063154,PC,1.0730911674920656,0,-0
E01,200,0.2571085929402147,0.2738371086784464,0.027062075728062657,0.017887178785579053,0.9389107056418888,-0.09094013685209254,0.11630930216205777,PC,1.1715293099660045,0,-0
F01,200,0.21283610627264787,0.2271520079979357,0.020961245989666744,0.019086865659427604,0.9369765565734381,-0.09391514320178312,0.12130094730584001,PC,1.1795784511851182,0,-0
G01,200,0.1903881580820534,0.21087734514524042,0.019608556257138234,0.01482732853032158,0.9028383677294721,-0.14746036515151892,0.11258838635039282,PC,1.1280151404302579,0,-0
H01,200,0.1851594079460819,0.19621707930250679,0.024271987913250293,0.01033382956385219,0.9436457244408509,-0.08368276869464912,0.13330955533003078,PC,1.2102648351009124,0,-0
A03,200,1.1205649437932845,1.0102135677322792,0.19260148602436084,0.0840224645381189,1.1092356899429903,0.1495659413200018,0.21180333242335855,test_compounds,0.6856290250962731,0,0
A04,200,1.040823277272581,1.0165817055314585,0.09718794831487997,0.03102318457780255,1.0238461617095984,0.033998959076404114,0.10057890960831767,test_compounds,0.8226883424929631,0,0
A05,200,0.9673375151236278,0.9716248702876111,0.11166935195416532,0.036695810414953824,0.9955874378115556,-0.006380068185639789,0.12092495966711861,test_compounds,1.2374373571457928,0,-0
A06,200,1.0022492205318152,1.018086402290002,0.048490250741061246,0.034135737180797335,0.9844441672901594,-0.02261870882934609,0.057948380794783656,test_compounds,1.1003409288797268,0,-0
A07,200,1.0757578249696629,1.0119639217940974,0.14952188235779265,0.06364755225441562,1.0630397011214254,0.08819547790517575,0.16217751992674237,test_compounds,0.7386846612679407,0,0
