Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
E06,5000,0.23329370166747337,0.11157071433613774,0.05784773898180809,0.01384838027064161,2.090994066459155,1.064188968047962,0.5798162059115084,test_compounds,0.9313616546361381,0,0
E07,5000,0.9424248733419345,0.618711247948023,0.17309323069174998,0.19104552759110016,1.5232063041806962,0.6071113547349951,0.5472506697866227,test_compounds,0.4287049646074508,0,0
E08,5000,1.163402960269304,0.955445705736437,0.16333018339960229,0.05452246851572841,1.2176547063682472,0.28410508231250614,0.18452901858040527,test_compounds,0.8485966692074367,0,0
E09,5000,0.8287935753701452,0.877160438358916,0.16136303666176807,0.037976076498385754,0.944859730473868,-0.08182792552208464,0.1884540337607063,test_compounds,1.3217677979952804,0,-0
E10,5000,0.5355884646578425,0.3158448406702622,0.017006635403514492,0.012356198055194533,1.6957328272998125,0.7619088827001178,0.0854407877299325,test_compounds,1.5248512518399475,2,0.7619088827001178
E11,5000,1.0893169112567078,1.0884233052194745,0.13018470505783047,0.05432256373624313,1.0008210096503338,0.0011839805877929645,0.12961959719707447,test_compounds,0.7415818152561848,0,0
F02,5000,0.9883676440976437,0.835661634372203,0.073300143387495,0.09719505768483536,1.1827366525449767,0.24212887979624936,0.1631487953334672,test_compounds,0.8564390618780423,0,0
F03,5000,1.0671662453844382,1.015280716732391,0.315083820016949,0.018640917298930186,1.0511046135289923,0.07190626388490923,0.31094104482899937,test_compounds,0.4292225238709936,0,0
F04,5000,1.0627912244801552,1.148069882244904,0.18016758102315727,0.09630090837855115,0.9257199765592689,-0.11135223998162413,0.1750908915840756,test_compounds,1.27590175972742,0,-0
F05,5000,0.8241332312275452,0.9172205245255922,0.1523538141796901,0.034923395239446195,0.8985115456872338,-0.15439105270061876,0.16959029431375103,test_compounds,1.2376921343147358,0,-0
F06,5000,0.9186801451015139,1.0457299434182377,0.2214855379182244,0.05364524482990655,0.8785061103812053,-0.1868757740652018,0.2165415160761531,test_compounds,1.3115891425335116,0,-0
F07,5000,1.4352064793529191,1.3190712136821483,0.3767137344399501,0.2251807882106997,1.0880432113642922,0.12173585399912819,0.34067826367939863,test_compounds,0.4066866840054949,0,0
F08,5000,1.073171850586127,1.0570077132212428,0.382323498037664,0.11237229024369948,1.0152923551670439,0.021895213733408147,0.3774652188252365,test_compounds,0.2603619175165709,0,0
F09,5000,1.1879837081067657,1.2524387633560776,0.2809888043245428,0.039979032181329234,0.9485363619083491,-0.0762250148306478,0.22638724304879676,test_compounds,1.4013108480059426,0,-0
F10,5000,1.0586046195881593,1.051208942634642,0.26474173503038445,0.1103660577648841,1.007035401482584,0.01011440096697147,0.27313803295918915,test_compounds,0.4607593355642057,0,0
F11,5000,0.9530611068565167,1.0419851534610938,0.18650247634859252,0.021647636955549734,0.9146590080394102,-0.12869409914099295,0.17999352883950842,test_compounds,1.274646065718427,0,-0
G02,5000,1.1279754610334267,1.1500647346413417,0.3892804189655517,0.04802700411379038,0.9807930171732431,-0.027979387193695537,0.3409547079972305,test_compounds,1.662702433167704,0,-0
G03,5000,0.6321920246156385,0.7672234816848366,0.07272332633134014,0.028942366529646005,0.82399983799679,-0.2792840411211632,0.09975433854044403,test_compounds,1.0235085150776781,0,-0
G04,5000,0.7218220934775956,0.7083172724697865,0.05125886221924916,0.07714826722513628,1.019066061965029,0.027247578667689346,0.1325018157026396,test_compounds,0.7540624305597496,0,0
G05,5000,0.9077476576250839,1.0554899184386801,0.16119258895240163,0.054733281712175126,0.8600249436468876,-0.2175495914054149,0.15909678343058903,test_compounds,1.1782185105080658,0,-0
G06,5000,0.3754944997600709,0.2818662721242003,0.08360355448887,0.03455484391951643,1.3321725119159153,0.41378091872313,0.3385965493930048,test_compounds,0.6549794131299057,0,0
G07,5000,1.1949565049745168,1.168514375972118,0.18887504060457458,0.01873065229209375,1.022628843552225,0.0322826233562553,0.16246596877204633,test_compounds,0.6976969060081324,0,0
G08,5000,1.241158109637674,1.4902185798203236,0.16721849166742858,0.05058327289712442,0.8328698396629313,-0.2638370450891466,0.11571718900057888,test_compounds,1.0643042176640891,0,-0
G09,5000,0.9422470049944698,0.9851647943650739,0.14408911103706584,0.04331557267831226,0.9564359286729648,-0.06425976874338267,0.15218432897767165,test_compounds,1.260804586628308,0,-0
G10,5000,1.1445759765412076,1.1150665909710358,0.17334155366028137,0.021860806081822715,1.0264642361354168,0.03768336222593856,0.15675110738915296,test_compounds,0.7129620213571108,0,0
G11,5000,0.7242430913572189,1.1879899308395507,0.19269992294040023,0.15524798630703096,0.609637398900677,-0.7139766855706685,0.1807153264546009,test_compounds,0.9710680518098789,2,-0.7139766855706685
H02,5000,0.9052200561330175,0.9698381354083507,0.12102613386862852,0.03993860530539675,0.9333723052165548,-0.09947543422715094,0.1305754539833568,test_compounds,1.1945232131832684,0,-0
H03,5000,0.635001381579493,0.5728955790985439,0.031302252432063506,0.00865627134897372,1.1084068454126896,0.1484875259034977,0.05714778167975911,test_compounds,0.9941112820531715,0,0
H04,5000,0.5614120907511595,0.5501525025124322,0.029873321442560268,0.037715402234520246,1.0204663037745119,0.029228544761600632,0.08855817681942142,test_compounds,0.843349950135669,0,0
H05,5000,0.39769750942228144,0.8061109520977088,0.06576728805386396,0.013645209008277997,0.4933533136938158,-1.0193068958467877,0.08201219404416837,test_compounds,0.6573777017821525,2,-1.0193068958467877
H06,5000,0.4551334595797008,0.4119790732152962,0.05153698149109031,0.008732439018373136,1.104748976756527,0.14371859483878108,0.12726891045972574,test_compounds,0.8502111558370755,0,0
H07,5000,0.9948652485274248,0.7703487040657082,0.1651190630606618,0.00852287470087228,1.2914479420511442,0.368989489945778,0.2148189699486435,test_compounds,0.8618100021538573,0,0
H08,5000,0.7604936671183866,0.7592546600607413,0.12501681104482396,0.007464259828297388,1.0016318728390106,0.002352375984571438,0.16495146712935455,test_compounds,0.6717289385803015,0,0
H09,5000,1.0017394838731692,0.7483589715537919,0.23972008720521623,0.044553535684499934,1.3385815122831923,0.420704993880553,0.3300919563396342,test_compounds,0.678397599603924,0,0
H10,5000,0.5658867670102128,0.5462230612125496,0.08722793288338099,0.02498931381480985,1.0359994060924709,0.0510231759707095,0.16657796402480024,test_compounds,0.7028434780428704,0,0
H11,5000,1.0218448230192754,1.0137512588437987,0.18362766678630066,0.15434006751967982,1.0079837771888023,0.011472419832270389,0.2374049811283275,test_compounds,0.5331738149321472,0,0
A02,2000,1.0616011745299656,1.238624061432787,0.08977844642480388,0.08254932507823311,0.8570810204526069,-0.222496505158373,0.09228493115179562,cbd,1.041650882756198,0,-0
B02,2000,0.8478360606439771,0.7938458549880787,0.07549778415042038,0.07854803558164974,1.0680109435813696,0.09492642995588126,0.14216918848201618,cbd,0.7836725666173372,0,0
