drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
T0070907,413268.3333333333,421040.3333333333,407344.3333333333,400173,10121.755990604264,45182.65230520817,10594.88321470951,35999.772874283524,434959.5,431136.5,415444.5,431841.75,31967.84052241669,24887.650116741304,28091.389908653506,18664.33265839776,0.9501306060296035,0.9765824358024275,0.9805024096680383,0.9266658446062707,0.07360623204955748,0.11899930834876565,0.07103502379965432,0.09248520110501329,0.275626738685098,0.7505667574248515,0.6247798949483705,0.26437456557070055,0.6285714285714286,0.8571428571428571,0.6285714285714286,0.22857142857142856
Dabrafenib,407493,399281.6666666667,426485.6666666667,433374,34935.45538561076,32319.956007602075,15613.751962079241,39421.12807873463,423922.25,428550,428502,422158,20390.52308263163,22185.067575586363,10973.00405540798,35451.320116463925,0.9612446621992594,0.9317038074125928,0.9952944599247301,1.0265682516972319,0.09449414641842656,0.08952133726974386,0.04446718973059165,0.12708882466606636,0.5195109658365232,0.2607757048956453,0.8592019174428432,0.7165752339948801,0.6285714285714286,0.22857142857142856,0.8571428571428571,0.4
Selumetinib,359414.6666666667,352449.6666666667,392077,392275.6666666667,22590.182764496025,12452.164042178907,25570.113492122007,11183.52691834438,420254.75,424620.5,417705,405755.75,5814.184802417847,19907.782439706003,17306.387606892433,22404.78616092255,0.8552304683448948,0.830034505321026,0.9386456949282388,0.966777837816634,0.055040354637629775,0.04872743883259203,0.07252448078685883,0.06007843300475978,0.03752521477554607,0.0021183795447839,0.2219254467103564,0.34915777121132074,0.05714285714285714,0.05714285714285714,0.22857142857142856,0.4
Y-27632,458620,455888.3333333333,461610,435956,27381.47090643598,27420.074440696426,6538.596409016235,15224.270622923123,396664.5,381169,359424,372413.5,23847.696765096625,55824.93300190038,106092.9472868013,102595.01165423851,1.1561911892796053,1.1960267842697945,1.2843048878205128,1.1706235139166545,0.09796328647092163,0.1893628101955478,0.379530823288663,0.32507206567541375,0.03464011507655303,0.07265268569184218,0.14949636451734266,0.30497883894829736,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.22857142857142856
IWR-1,448055.3333333333,448851.6666666667,419901.3333333333,426683.6666666667,29384.60590740215,27466.820790425187,38321.02432520996,14336.395653487432,400349.25,381604.5,387357.25,388227,27827.314223917958,56299.90125805432,125914.5469418976,112407.37025954599,1.119161165740496,1.1762221532153492,1.084015681475778,1.0990571667263398,0.10695091565471566,0.18786861400461607,0.3659947198367264,0.32035683953192723,0.09060721484323657,0.09780063537749775,0.6532315822730654,0.5451216112227886,0.22857142857142856,0.11428571428571428,0.8571428571428571,0.4
Apoptozole,495181.6666666667,384547,476651.3333333333,441584,7408.5889569696965,20948.872929110054,9095.092431269368,29013.774125404645,448582.2,411354,464928.4,447256.8,32497.598660516443,15779.676359165293,16851.036356853547,15876.431138640699,1.1038816668754727,0.9348322855739825,1.0252144918084878,0.987316458911301,0.08165844743627532,0.06228559618683896,0.04199310970185467,0.07373250832849346,0.030338753358595295,0.14064866161094947,0.24903024480587374,0.7773988893170262,0.03571428571428571,0.07142857142857142,0.39285714285714285,0.7857142857142857
Gefitinib,427650.6666666667,359056.3333333333,450164,415930.6666666667,22268.24367419517,13539.549340112224,23125.05584858121,18047.08556341808,410284.25,406975.75,429774.5,448390,76105.60367618581,11785.67956957369,45725.706632046706,12751.118016341416,1.0423277682890988,0.8822548599844913,1.0474423214965056,0.9276091497728912,0.2008198812996911,0.041947297950919296,0.12375223153791329,0.04812277230105733,0.6897634149944611,0.00783245377993088,0.47893607867089594,0.0659115658105399,0.4,0.05714285714285714,0.6285714285714286,0.05714285714285714
Paclitaxel,294775,302105.6666666667,315199.6666666667,326734.6666666667,14979.70770742874,41979.29224431176,24531.573988094064,36959.411282288216,390524,396009.5,425133.25,456129.5,70053.31792285074,49763.96837404884,47851.909556986335,15901.057249965068,0.7548191660435722,0.7628747963537912,0.741413819471111,0.7163199632268176,0.14073001041591424,0.14292456511909307,0.10145857452999403,0.08478895390328799,0.06812829702916261,0.04400019632108715,0.012642632237556696,0.016357199110059853,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714
SGI-1027,448974.6666666667,371142,424592.6666666667,426312.6666666667,30873.75649857551,28500.614168820994,26508.84558658361,21777.42926365124,426649,404303,416947.25,446736.75,39590.33536104487,50871.84772871272,41946.76229361054,27183.72199650617,1.052327947954095,0.9179798319577149,1.018336652098477,0.9542816136497987,0.12153954293777634,0.13531768301717723,0.12057387796674146,0.07581683154985397,0.440523704962805,0.3257406035000396,0.7803679455748741,0.32096907279237125,0.6285714285714286,0.4,0.8571428571428572,0.4
PFK-015,415232.6666666667,390756,430230.6666666667,428055.3333333333,13135.103971165716,15039.844813029156,27881.868845781006,6477.879771447857,430875,428261.25,413199.75,442469.25,31781.15705886115,12911.676817904017,30297.053293183482,20794.109588615072,0.9636963543177642,0.9124243671357145,1.04121715143019,0.9674239132625223,0.07734303654588266,0.044609775991782896,0.10189141288069485,0.04776373631775847,0.4223314790380791,0.025608973143547032,0.47816652406169957,0.2666690227962603,0.8571428571428571,0.05714285714285714,0.6285714285714286,0.4
