drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Erlotinib,1628.6666666666667,1545,1066.3333333333333,1019,91.7841671168472,25.942243542145693,62.42862591258383,23.302360395462088,1600.25,1568.75,1119.75,1148,250.81517099250595,58.202949524343985,71.83952022853902,22.464787260658994,1.0177576420350987,0.9848605577689243,0.9522958993823025,0.8876306620209059,0.1695163551883343,0.04010766308469163,0.08271072825076628,0.026715630356347487,0.8449175035443337,0.5052429242256103,0.34385379041319514,0.0012995578863093822,0.8571428571428571,0.8571428571428571,0.6285714285714286,0.05714285714285714
Saracatinib,1645,1623.6666666666667,1162.3333333333333,1190,28.21347195933177,29.501412395567325,54.50076452063158,47.148700936505136,1668.25,1676.5,1270,1193,297.0593375068355,143.1421205189677,125.28101745010429,54.644304369257,0.986063239922074,0.9684859329953276,0.9152230971128609,0.9974853310980721,0.17639735773830967,0.08454243953172852,0.09996362244414829,0.06041024297027485,0.8860119846291088,0.5197463551937823,0.19453204031399662,0.9411328196238625,0.4,1,0.22857142857142856,1
Ipatasertib,2139.3333333333335,2085.6666666666665,1508.3333333333333,1382,96.00173609541305,129.12913433200632,40.91861841916627,67.7347768875044,1822.75,1798.75,1362.25,1290.75,49.64121271685453,40.235763527820204,42.319223370315605,67.83497131519503,1.1736844511498195,1.1595089182302525,1.1072368018596683,1.0706953321712183,0.06160931138534527,0.076330002861638,0.04566630021529843,0.07694259585673584,0.01615890660444297,0.05278703175841839,0.007342051097833032,0.14531278080652105,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.22857142857142856
Vorinostat,2205,2258.6666666666665,1117,1038.3333333333333,71.46327728281149,55.536774603260255,20.29778313018444,61.002732179250245,1842,1899.75,1365.5,1309.25,82.98594258467314,117.91345696456081,60.052754585725154,52.73439737653846,1.1970684039087949,1.1889283677676887,0.8180153789820579,0.7930749156641843,0.06643541824494094,0.0793738263936144,0.038925210224871686,0.056492209899980855,0.0018240204577712619,0.004330171754323987,0.0017777025747056007,0.00345279793710512,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Buparlisib,1904,2007,1179,1137,115.05216208311776,83.21057625085888,26.210684844162312,46.87216658103186,1895.25,1859,1317,1199.5,114.66000465143313,200.24485012104557,88.49105416180026,110.07118908536724,1.0046168051708217,1.0796126949973104,0.8952164009111617,0.9478949562317632,0.08590179439375568,0.1246088972237405,0.06335774944841575,0.09535713041746632,0.9249037856116349,0.2502441203173445,0.046700592405292646,0.36258048188760983,0.8571428571428572,0.22857142857142856,0.05714285714285714,0.4
Everolimus,2039.3333333333333,2030.3333333333333,1317.6666666666667,1191.3333333333333,108.8959748261309,148.64835462706384,33.08070938376826,101.76607162180004,1925,1820,1246.5,1143.75,79.94581498323306,166.55529612313944,28.431203515386635,82.86686108853567,1.0593939393939393,1.1155677655677656,1.0570931942773099,1.0416029143897996,0.07166464115014774,0.13074078036629774,0.03585603152671678,0.11666973427103942,0.2083193408640214,0.14215131635905592,0.04025415996057537,0.5455837777757261,0.22857142857142856,0.11428571428571428,0.05714285714285714,0.4
Topotecan (Hydrochloride),1028.6666666666667,1001.3333333333334,860.3333333333334,838.3333333333334,28.5014619508076,63.35876682301616,20.428737928059416,8.082903768654761,1900,1824.5,1220.5,1138,35.505868059613285,111.84066046538412,27.23355773061365,61.78996682310163,0.5414035087719299,0.5488261624189276,0.7049023624197733,0.736672524897481,0.018093762579816985,0.0483504943589635,0.02296858739477215,0.040624824809607066,3.7594229520044e-7,8.1684776498332e-5,5.965165155249809e-6,0.0019974894242464824,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Bortezomib,866,911.3333333333334,1068,920.3333333333334,45.639894828976104,80.56260505553016,213.17598363793235,56.62449411105881,1542,1473,1074,1052.75,543.139638276076,460.84921612171587,247.14907781876644,172.8571182605256,0.5616083009079118,0.6186920117673682,0.994413407821229,0.8742183171059923,0.2000176586113718,0.20114515296610858,0.3029236063508488,0.15328942681435115,0.08789784486547811,0.09036098661006457,0.9739390842617852,0.22865803296579443,0.4,0.4,1,0.4
FRAX597,1642.3333333333333,1637,1104,1158,131.1957824525367,39,37.322915213043046,37.749172176353746,1602.3333333333333,1525.8333333333333,1148.5,1133,50.432793563976475,102.60490566569742,80.61947655498639,21.2602916254693,1.0249635947576452,1.0728563626433643,0.9612538093164997,1.0220653133274493,0.08800413634257975,0.07653834058528594,0.0748934177357546,0.038443496788375664,0.6550589585944575,0.05269481974366912,0.29527441218521805,0.3736808694608723,0.5476190476190476,0.16666666666666666,0.5476190476190476,0.4366607090489947
Ganetespib,1057.6666666666667,1076,973.6666666666666,932.6666666666666,41.10150037812894,64.21059102671458,51.9839718887787,23.437861108329262,1680.25,1616.25,1215.5,1148.75,70.79724570913758,25.785978101803053,102.23339310942714,21.187653637594387,0.6294698209591827,0.665738592420727,0.8010420951597422,0.8118969894813203,0.036080733351028266,0.04112343563772408,0.0798018632161465,0.025308519713706554,3.464773482850382e-5,0.002062937097545611,0.011324719945971149,1.8208374897825684e-4,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Afatinib,1307.6666666666667,1270,1008.6666666666666,903,20.840665376454115,49.50757517794625,66.66583332812493,37.36308338453881,1683.25,1650,1298.5,1168.5,197.82378522311214,120.63443400068931,54.68394036034102,64.18982266164421,0.7768701420862419,0.7696969696969697,0.7767937363624695,0.772785622593068,0.09213725415080026,0.0637732615759247,0.060877075892914655,0.05314673387783018,0.031074088421570844,0.004104438545597564,0.003972610272904896,0.0011398880996367636,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Volasertib,1259.3333333333333,1325,1255.3333333333333,1152.3333333333333,22.501851775650227,31.32091952673165,46.715450691750085,86.77173118783175,1687,1717.25,1360.75,1235.25,204.06371554002442,107.75705700014888,49.94914080008451,95.65345437219366,0.7464927879865638,0.7715824719755423,0.9225304672668259,0.932874586790798,0.09127745276165129,0.05173810038134235,0.048221607908953475,0.1007618501613198,0.023772821551887664,0.003231313234808261,0.0383574793068069,0.28808702341562864,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.4
PF-573228,2075.3333333333335,1930.6666666666667,1532,1378.3333333333333,151.18641914316686,110.58631621196781,65.96211033616193,37.89898855290644,1810.25,1793.25,1376,1281.5,145.88894177878367,145.06406630635078,55.81517117534742,52.169595231961175,1.1464346545136492,1.076629954923556,1.1133720930232558,1.0755624918715048,0.12454437274259847,0.10671561428393886,0.06586066471209757,0.052837715975020565,0.07491261201717647,0.21457983347983992,0.03023544440663923,0.036100984242782526,0.11428571428571428,0.22857142857142856,0.05714285714285714,0.05714285714285714
ART558,1768.6666666666667,1863.6666666666667,1269.6666666666667,1200.6666666666667,59.40819247657122,150.86859624631407,75.63949585589087,76.3500709451755,1924.75,1841.75,1310.25,1240.75,79.89315782134705,127.31162554927967,66.71519067398869,47.3383213334257,0.9189072173875396,1.0118999140310394,0.9690262672517967,0.9676942709382766,0.04906637039618793,0.1077168891232988,0.07594180431317726,0.07176159039040474,0.03145220548402435,0.8490424729892078,0.5003694841636809,0.47915413149699865,0.05714285714285714,0.8571428571428572,0.8571428571428571,0.8571428571428571
Mirin,1733.6666666666667,1762.3333333333333,1104,1022,96.36562319278246,175.65401598976703,58.02585630561603,53.113086899558006,1890,1822.75,1246.25,1195.5,109.25505327748766,101.24351831105041,36.28015986734347,27.525745524266306,0.917283950617284,0.9668541123759886,0.8858575727181545,0.8548724383103304,0.07356202877078992,0.11032115485678765,0.05322518262746569,0.04859241919724895,0.10411431312201115,0.6310097693206973,0.03056931607240413,0.016526615622214177,0.11428571428571428,0.6285714285714286,0.05714285714285714,0.05714285714285714
Ferrostatin-1,804,802.3333333333334,831.6666666666666,762.3333333333334,60.90155991434045,22.368132093076824,56.85361319505853,45.63259069276402,1587.25,1535.25,1091.5,1048.25,540.0638079585289,522.5127590148717,261.9421055627878,208.2200358595045,0.5065364624350291,0.52260761005265155,0.7619483890670331,0.7272438190635186,0.17656898341165192,0.1784619716337795,0.19012920187133556,0.15087341380461405,0.06124237292095755,0.06736610674621916,0.13985389293913777,0.06722485348769267,0.22857142857142856,0.4,0.4,0.22857142857142856
